entry_track_id,exit_track_id,entry_time,exit_time,transit_seconds
1453,1742,55.59,90.18,34.59
1437,3024,46.19,91.38,45.19
1459,1752,66.79,94.38,27.59
1401,3092,29.7,102.18,72.48
1379,2992,5.2,106.58,101.38
1375,3190,2.2,125.47,123.27
1449,3326,50.49,129.67,79.18
1480,2659,132.78,246.25,113.47
1470,3370,126.38,251.25,124.87
1499,4486,172.17,257.54,85.37
1525,4462,195.27,267.74,72.47
1629,4522,377.24,421.11,43.87
1603,6083,329.65,426.91,97.26
1564,6191,303.35,434.8,131.45
1618,5954,344.14,439.5,95.36
1571,6415,310.75,443.2,132.45
1590,5990,321.55,447.2,125.65
1624,6485,371.14,453.5,82.36
1668,6815,472.12,487.29,15.17
1705,6883,510.92,583.17,72.26
